"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 21:03:09 GMT 2024","Wed Jun 19 21:03:09 GMT 2024","128","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Wed Jun 19 21:03:09 GMT 2024","Wed Jun 19 21:03:09 GMT 2024","27","","","","","","Test DELETE Call",""
"passed","Wed Jun 19 21:03:09 GMT 2024","Wed Jun 19 21:03:09 GMT 2024","48","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Wed Jun 19 21:03:09 GMT 2024","Wed Jun 19 21:03:09 GMT 2024","43","","","","","","Test GET Call",""
"passed","Wed Jun 19 21:03:09 GMT 2024","Wed Jun 19 21:03:09 GMT 2024","39","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Wed Jun 19 21:03:09 GMT 2024","Wed Jun 19 21:03:09 GMT 2024","177","","","","","","Test POST Call [post_payload_2.json]",""
