"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 21:03:17 GMT 2024","Thu May 09 21:03:17 GMT 2024","36","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Thu May 09 21:03:16 GMT 2024","Thu May 09 21:03:17 GMT 2024","173","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Thu May 09 21:03:17 GMT 2024","Thu May 09 21:03:17 GMT 2024","114","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Thu May 09 21:03:16 GMT 2024","Thu May 09 21:03:17 GMT 2024","122","","","","","","Test GET Call",""
"passed","Thu May 09 21:03:16 GMT 2024","Thu May 09 21:03:17 GMT 2024","231","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Thu May 09 21:03:17 GMT 2024","Thu May 09 21:03:17 GMT 2024","25","","","","","","Test DELETE Call",""
