"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 21:03:05 GMT 2024","Thu May 23 21:03:05 GMT 2024","42","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Thu May 23 21:03:05 GMT 2024","Thu May 23 21:03:05 GMT 2024","60","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Thu May 23 21:03:05 GMT 2024","Thu May 23 21:03:05 GMT 2024","122","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Thu May 23 21:03:05 GMT 2024","Thu May 23 21:03:05 GMT 2024","27","","","","","","Test DELETE Call",""
"passed","Thu May 23 21:03:05 GMT 2024","Thu May 23 21:03:05 GMT 2024","127","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Thu May 23 21:03:05 GMT 2024","Thu May 23 21:03:05 GMT 2024","116","","","","","","Test GET Call",""
