"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 21:03:21 GMT 2024","Wed Apr 10 21:03:21 GMT 2024","170","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Wed Apr 10 21:03:21 GMT 2024","Wed Apr 10 21:03:21 GMT 2024","59","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Wed Apr 10 21:03:21 GMT 2024","Wed Apr 10 21:03:22 GMT 2024","164","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Wed Apr 10 21:03:21 GMT 2024","Wed Apr 10 21:03:21 GMT 2024","61","","","","","","Test DELETE Call",""
"passed","Wed Apr 10 21:03:21 GMT 2024","Wed Apr 10 21:03:21 GMT 2024","233","","","","","","Test POST Call [post_payload_1.json]",""
"failed","Wed Apr 10 21:03:24 GMT 2024","Wed Apr 10 21:03:24 GMT 2024","27","","","","","","Test GET Call",""
