"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 21:02:59 GMT 2024","Fri Sep 06 21:03:00 GMT 2024","246","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Fri Sep 06 21:02:59 GMT 2024","Fri Sep 06 21:02:59 GMT 2024","51","","","","","","Test GET Call",""
"passed","Fri Sep 06 21:02:59 GMT 2024","Fri Sep 06 21:02:59 GMT 2024","270","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Fri Sep 06 21:02:59 GMT 2024","Fri Sep 06 21:02:59 GMT 2024","90","","","","","","Test DELETE Call",""
"passed","Fri Sep 06 21:02:59 GMT 2024","Fri Sep 06 21:02:59 GMT 2024","291","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Fri Sep 06 21:02:59 GMT 2024","Fri Sep 06 21:03:00 GMT 2024","254","","","","","","Test UPDATE call [put_payload_1.json]",""
