"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 21:03:24 GMT 2024","Tue Apr 30 21:03:24 GMT 2024","113","","","","","","Test GET Call",""
"passed","Tue Apr 30 21:03:24 GMT 2024","Tue Apr 30 21:03:25 GMT 2024","301","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Tue Apr 30 21:03:25 GMT 2024","Tue Apr 30 21:03:25 GMT 2024","186","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Tue Apr 30 21:03:24 GMT 2024","Tue Apr 30 21:03:25 GMT 2024","237","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Tue Apr 30 21:03:25 GMT 2024","Tue Apr 30 21:03:25 GMT 2024","134","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Tue Apr 30 21:03:25 GMT 2024","Tue Apr 30 21:03:25 GMT 2024","64","","","","","","Test DELETE Call",""
