"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 21:03:02 GMT 2024","Fri May 10 21:03:03 GMT 2024","156","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Fri May 10 21:03:02 GMT 2024","Fri May 10 21:03:03 GMT 2024","148","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Fri May 10 21:03:02 GMT 2024","Fri May 10 21:03:03 GMT 2024","103","","","","","","Test GET Call",""
"passed","Fri May 10 21:03:03 GMT 2024","Fri May 10 21:03:03 GMT 2024","51","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Fri May 10 21:03:03 GMT 2024","Fri May 10 21:03:03 GMT 2024","48","","","","","","Test DELETE Call",""
"passed","Fri May 10 21:03:03 GMT 2024","Fri May 10 21:03:03 GMT 2024","131","","","","","","Test UPDATE call [put_payload_1.json]",""
