"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 21:03:15 GMT 2024","Mon Apr 08 21:03:15 GMT 2024","58","","","","","","Test UPDATE call [put_payload_2.json]",""
"failed","Mon Apr 08 21:03:17 GMT 2024","Mon Apr 08 21:03:17 GMT 2024","24","","","","","","Test GET Call",""
"passed","Mon Apr 08 21:03:15 GMT 2024","Mon Apr 08 21:03:15 GMT 2024","34","","","","","","Test DELETE Call",""
"passed","Mon Apr 08 21:03:14 GMT 2024","Mon Apr 08 21:03:15 GMT 2024","195","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Mon Apr 08 21:03:15 GMT 2024","Mon Apr 08 21:03:15 GMT 2024","141","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Mon Apr 08 21:03:14 GMT 2024","Mon Apr 08 21:03:15 GMT 2024","190","","","","","","Test POST Call [post_payload_1.json]",""
