"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 21:02:45 GMT 2025","Tue Apr 15 21:02:45 GMT 2025","79","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Tue Apr 15 21:02:46 GMT 2025","Tue Apr 15 21:02:46 GMT 2025","166","","","","","","Test DELETE Call",""
"passed","Tue Apr 15 21:02:45 GMT 2025","Tue Apr 15 21:02:46 GMT 2025","53","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Tue Apr 15 21:02:45 GMT 2025","Tue Apr 15 21:02:46 GMT 2025","492","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Tue Apr 15 21:02:46 GMT 2025","Tue Apr 15 21:02:46 GMT 2025","488","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Tue Apr 15 21:02:45 GMT 2025","Tue Apr 15 21:02:45 GMT 2025","42","","","","","","Test GET Call",""
