"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 16 21:02:52 GMT 2024","Sat Nov 16 21:02:52 GMT 2024","348","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Sat Nov 16 21:02:52 GMT 2024","Sat Nov 16 21:02:53 GMT 2024","264","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Sat Nov 16 21:02:52 GMT 2024","Sat Nov 16 21:02:52 GMT 2024","347","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Sat Nov 16 21:02:52 GMT 2024","Sat Nov 16 21:02:52 GMT 2024","102","","","","","","Test GET Call",""
"passed","Sat Nov 16 21:02:52 GMT 2024","Sat Nov 16 21:02:53 GMT 2024","97","","","","","","Test DELETE Call",""
"passed","Sat Nov 16 21:02:52 GMT 2024","Sat Nov 16 21:02:53 GMT 2024","235","","","","","","Test UPDATE call [put_payload_2.json]",""
