"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 25 21:02:57 GMT 2025","Fri Apr 25 21:02:57 GMT 2025","245","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Fri Apr 25 21:02:56 GMT 2025","Fri Apr 25 21:02:56 GMT 2025","96","","","","","","Test DELETE Call",""
"passed","Fri Apr 25 21:02:56 GMT 2025","Fri Apr 25 21:02:56 GMT 2025","124","","","","","","Test GET Call",""
"passed","Fri Apr 25 21:02:56 GMT 2025","Fri Apr 25 21:02:57 GMT 2025","276","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Fri Apr 25 21:02:56 GMT 2025","Fri Apr 25 21:02:56 GMT 2025","183","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Fri Apr 25 21:02:56 GMT 2025","Fri Apr 25 21:02:57 GMT 2025","321","","","","","","Test POST Call [post_payload_1.json]",""
